District,Status,Census(2010),Census(2021)
Asunafo North Municipal,Municipal District,124685,150198
Asunafo South,District,95580,91693
Asutifi North,District,52259,73556
Asutifi South,District,53584,68394
Tano North Municipal,Municipal District,79973,93608
Tano South Municipal,Municipal District,78129,87219
Adansi Asokwa (← Adansi North),District,67133,71844
Adansi North,District,39958,54155
Adansi South,District,40523,85200
Afigya Kwabre North,District,41593,73330
Afigya Kwabre South,District,94547,234667
Ahafo Ano North Municipal,Municipal District,94285,92742
Ahafo Ano South East,District,58962,63468
Ahafo Ano South West,District,62697,65770
Akrofuom (← Obuasi Municipal),District,74855,49291
Amansie Central,District,90741,93052
Amansie South (← Amansie West),District,60227,116366
Amansie West,District,74104,109416
Asante Akim Central Municipal,Municipal District,71508,91673
Asante Akim North,District,69186,85788
Asante Akim South Municipal,Municipal District,117245,123633
Asokore Mampong Municipal,Municipal District,304815,191402
Asokwa Municipal (← Kumasi Metropolitan),Municipal District,140161,125642
Atwima Kwanwoma,District,90634,234846
Atwima Mponua,District,119180,155254
Atwima Nwabiagya Municipal (Atwima Nwabiagya South Municipal),Municipal District,85994,161893
Atwima Nwabiagya North (← Atwima Nwabiagya Municipal),District,63031,155025
Bekwai Municipal,Municipal District,118024,137967
Bosome Freho,District,60397,62259
Bosomtwe,District,93910,165180
Ejisu Municipal,Municipal District,95424,180723
Ejura-Sekyedumase Municipal,Municipal District,85446,137672
Juaben Municipal,Municipal District,48338,63929
Kumasi Metropolitan (incl. Bantama Municipal Manhyia North Municipal Manhyia South Municipal Nhyiaeso Municipal Subin Municipal),Metropolitan District,728634,443981
Kwabre East,District,115556,296814
Kwadaso Municipal (← Kumasi Metropolitan),Municipal District,251215,154526
Mampong Municipal,Municipal District,88051,116632
Obuasi East (← Obuasi Municipal),District,76004,92401
Obuasi Municipal,Municipal District,92637,104297
Offinso Municipal,Municipal District,76895,137272
Offinso North,District,56881,83440
Oforikrom Municipal (← Kumasi Metropolitan),Municipal District,303016,213126
Old Tafo Municipal (← Kumasi Metropolitan),Municipal District,146024,114368
Sekyere Afram Plains,District,28535,32640
Sekyere Central,District,71232,73228
Sekyere East,District,62172,74789
Sekyere Kumawu,District,65402,64396
Sekyere South,District,94009,120076
Suame Municipal (← Kumasi Metropolitan),Municipal District,161199,136290
Banda,District,20282,28179
Berekum East Municipal,Municipal District,92847,106252
Berekum West,District,36781,49464
Dormaa Central Municipal,Municipal District,112111,112702
Dormaa East,District,50871,67899
Dormaa West,District,47678,47913
Jaman North,District,83059,117909
Jaman South Municipal,Municipal District,92649,108388
Sunyani Municipal,Municipal District,123224,193595
Sunyani West,District,85272,136022
Tain,District,88104,115568
Wenchi Municipal,Municipal District,89739,124758
Atebubu-Amantin Municipal,Municipal District,105938,144947
Kintampo North Municipal,Municipal District,95480,139508
Kintampo South,District,81000,89126
Nkoranza North,District,65895,56468
Nkoranza South Municipal,Municipal District,100929,114642
Pru East,District,72799,101545
Pru West,District,56449,69383
Sene East,District,61076,72081
Sene West,District,57734,69836
Techiman Municipal,Municipal District,147788,243335
Techiman North,District,59068,102529
Abura-Asebu-Kwamankese,District,117185,124465
Agona East,District,85920,98324
Agona West Municipal,Municipal District,115358,136882
Ajumako-Enyan-Essiam,District,138046,120586
Asikuma-Odoben-Brakwa,District,129580,126993
Assin Central Municipal (Assin Fosu Municipal),Municipal District,76525,88753
Assin North (← Assin Central Municipal),District,67942,80539
Assin South,District,104244,105995
Awutu Senya East Municipal,Municipal District,108422,236527
Awutu Senya West,District,86884,161460
Cape Coast Metropolitan (incl. Cape Coast North Municipal Cape Coast South Municipal),Metropolitan District,169894,189925
Effutu Municipal,Municipal District,68597,107798
Ekumfi,District,52231,56741
Gomoa Central (← Gomoa East),District,138790,83610
Gomoa East,District,68281,308697
Gomoa West,District,135189,129512
Komenda-Edina-Eguafo-Abirem Municipal,Municipal District,144705,166017
Mfantsiman Municipal,Municipal District,144332,168905
Twifo-Ati Morkwa,District,61743,100851
Twifo-Heman-Lower Denkyira,District,55131,66075
Upper Denkyira East Municipal,Municipal District,72810,110141
Upper Denkyira West,District,60054,91025
Abuakwa North Municipal (← East Akim Municipal),Municipal District,89548,91297
Abuakwa South Municipal (← East Akim Municipal),Municipal District,78348,73949
Achiase (← Birim South),District,73216,56348
Akuapim North Municipal,Municipal District,75771,105315
Akwapim South,District,37501,76922
Akyemansa,District,97374,91038
Asene Manso-Akroso (← Birim Central Municipal),District,76876,77498
Asuogyaman,District,98046,101256
Atiwa East,District,49636,64647
Atiwa West,District,60986,61219
Ayensuano,District,77193,94594
Birim Central Municipal,Municipal District,67993,76302
Birim North,District,78907,82669
Birim South,District,46551,35654
Denkyembour,District,78841,77029
Fanteakwa North,District,59430,56987
Fanteakwa South,District,49184,54634
Kwaebibirem Municipal,Municipal District,113721,121698
Kwahu Afram Plains North,District,102423,66555
Kwahu Afram Plains South,District,115812,74002
Kwahu East,District,77125,79726
Kwahu South,District,69757,80358
Kwahu West Municipal,Municipal District,93584,145429
Lower Manya Krobo Municipal,Municipal District,89246,121478
New Juaben North Municipal,Municipal District,58735,93201
New Juaben South Municipal,Municipal District,124992,125256
Nsawam Adoagyiri Municipal,Municipal District,86000,155597
Okere (← Akwapim North Municipal),District,60712,51675
Suhum Municipal,Municipal District,90358,126403
Upper Manya Krobo,District,72092,70676
Upper West Akim,District,87051,93391
West Akim Municipal,Municipal District,108298,120145
Yilo Krobo Municipal,Municipal District,87847,122705
Ablekuma Central Municipal (← Accra Metropolitan),Municipal District,233220,169145
Ablekuma North Municipal (← Accra Metropolitan),Municipal District,184731,159208
Ablekuma West Municipal (← Accra Metropolitan),Municipal District,59708,153490
Accra Metropolitan (incl. Ablekuma Municipal Ashiedu Municipal Okaikoi Municipal),Metropolitan Area,440946,284124
Ada East,District,71671,76411
Ada West,District,59124,76087
Adenta Municipal,Municipal District,78215,237546
Ashaiman Municipal,Municipal District,190972,208060
Ayawaso Central Municipal (← Accra Metropolitan),Municipal District,142322,94831
Ayawaso East Municipal (← Accra Metropolitan),Municipal District,83721,53004
Ayawaso North Municipal (← Accra Metropolitan),Municipal District,99777,63386
Ayawaso West Municipal (← Accra Metropolitan),Municipal District,70667,75303
Ga Central Municipal,Municipal District,117220,332232
Ga East Municipal,Municipal District,147742,283379
Ga North Municipal (← Ga West Municipal),Municipal District,103965,235292
Ga South Municipal,Municipal District,234191,350121
Ga West Municipal,Municipal District,101386,314299
Korle-Klottey Municipal (← Accra Metropolitan),Municipal District,121723,68633
Kpone Katamanso Municipal,Municipal District,109864,417334
Krowor Municipal,Municipal District,102059,143012
La Dade-Kotopon Municipal,Municipal District,183528,140264
La Nkwantanang Madina Municipal,Municipal District,111926,244676
Ledzokuku Municipal,Municipal District,125873,217304
Ningo Prampram,District,70923,204673
Okaikwei North Municipal (← Accra Metropolitan),Municipal District,228271,160446
Shai Osudoku,District,51913,105610
Tema Metropolitan (incl. Tema Central Municipal Tema East Municipal),Metropolitan District,168932,177924
Tema West Municipal (← Tema Metropolitan),Municipal District,123841,196224
Weija-Gbawe Municipal (← Ga South Municipal),Municipal District,191623,213674
Bunkpurugu-Nyakpanduri,District,69786,82384
Chereponi,District,53394,87176
East Mamprusi Municipal,Municipal District,121009,188006
Mamprugu Moagduri,District,46894,68746
West Mamprusi Municipal,Municipal District,121117,175755
Yunyoo-Nasuan,District,52805,56879
Gushiegu Municipal,Municipal District,111259,153965
Karaga,District,77706,114225
Kpandai,District,108816,126213
Kumbungu,District,39341,110586
Mion,District,81812,94930
Nanton,District,46566,50767
Nanumba North Municipal,Municipal District,141584,188680
Nanumba South,District,93464,106374
Saboba,District,65706,95683
Sagnarigu Municipal,Municipal District,148099,341711
Savelugu Municipal,Municipal District,92717,122888
Tamale Metropolitan (incl. Tamale Central Municipal Tamale South Municipal),Metropolitan District,223252,374744
Tatale-Sangule,District,60039,74805
Tolon,District,72990,118101
Yendi Municipal,Municipal District,117780,154421
Zabzugu,District,63815,82846
Biakoye,District,65901,71827
Guan (← Jasikan),District,0,28238
Jasikan,District,0,59695
Kadjebi,District,59303,73959
Krachi East Municipal,Municipal District,116804,110435
Krachi Nchumuru,District,72688,79934
Krachi West,District,49417,61128
Nkwanta North,District,64553,126096
Nkwanta South Municipal,Municipal District,117878,135936
Bole,District,61593,115800
Central Gonja,District,87877,142762
East Gonja Municipal,Municipal District,105702,117755
North East Gonja (← East Gonja Municipal),District,29748,39404
North Gonja,District,43547,61432
Sawla-Tuna-Kalba,District,99863,112664
West Gonja,District,41180,63449
Bawku Municipal,Municipal District,98538,119458
Bawku West,District,94034,144189
Binduri,District,61576,76679
Bolgatanga East (← Bolgatanga Municipal),District,28254,38824
Bolgatanga Municipal,Municipal District,103296,139864
Bongo,District,84545,120254
Builsa North Municipal,Municipal District,56477,56571
Builsa South,District,36514,36575
Garu,District,58362,71774
Kassena Nankana Municipal,Municipal District,109944,99895
Kassena Nankana West,District,70667,90735
Nabdam,District,33826,51861
Pusiga,District,57677,80533
Talensi,District,81194,87021
Tempane,District,71641,86993
Daffiama-Bussie-Issa,District,32827,38754
