Region,Census(2010),Census(2021)
Ahafo (← Brong Ahafo),484210,564668
Ashanti,4780380,5440463
Bono (← Brong Ahafo),922617,1208649
Bono East (← Brong Ahafo),904156,1203400
Central,2201863,2859821
Eastern,2633154,2925653
Greater Accra,4010054,5455692
North East (← Northern),465005,658946
Northern,1544946,2310939
Oti (← Volta),636889,747248
Savannah (← Northern),469510,653266
Upper East,1046545,1301226
Upper West,702110,901502
Volta,1481363,1659040
Western,1664586,2060585
Western North (← Western),711435,880921
Ghana,24658823,30832019
